"[all run data]","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters","count eaters"
,"43","39","38","36","39","34","44","45","34","39","41","33","37","42","40","32","40","42","37","43","39","36","36","36","34","40","31","40","34","36"
,"43","39","38","36","39","34","44","45","34","39","41","33","37","41","40","32","40","42","37","43","39","36","36","35","34","40","31","40","34","36"
,"42","39","38","36","38","34","44","45","34","39","41","33","37","41","40","32","40","42","37","43","39","36","36","35","34","40","31","40","34","36"
,"42","39","38","36","38","34","44","45","34","39","41","33","37","41","40","32","40","42","37","43","38","36","36","35","34","40","31","40","34","36"
,"42","39","38","36","38","34","43","45","34","38","41","33","37","41","40","32","40","42","36","43","38","36","36","35","34","40","31","40","34","36"
,"42","38","38","36","38","34","43","45","34","38","41","33","37","41","40","32","40","42","36","43","38","36","36","35","34","39","31","40","34","36"
,"42","38","38","36","38","34","43","45","34","37","41","33","37","41","40","32","40","42","36","43","38","36","36","35","34","39","31","40","34","36"
,"42","38","38","36","38","34","43","44","34","37","41","33","37","41","40","32","40","42","36","43","38","36","36","35","34","39","31","39","34","36"
,"42","37","38","36","38","34","43","44","34","37","41","33","37","41","40","32","40","42","36","43","38","36","36","35","34","39","31","39","34","36"
,"42","37","38","36","38","34","43","43","34","37","41","32","37","41","40","32","40","42","36","43","38","36","36","35","34","39","31","39","34","35"
,"42","37","38","36","38","34","43","43","34","37","41","32","37","41","40","32","40","41","36","43","38","35","36","35","34","38","31","39","34","35"
,"42","37","38","36","38","33","43","43","34","37","41","32","37","41","40","32","40","41","36","43","37","35","36","35","34","38","31","39","34","35"
,"42","37","38","36","37","33","43","43","34","37","41","32","36","41","40","32","40","40","36","43","37","35","35","35","33","38","31","39","33","35"
,"42","37","38","36","37","33","43","43","34","37","40","32","36","41","40","32","40","40","36","43","37","35","35","35","33","38","31","39","33","35"
,"42","37","37","36","36","33","42","43","34","37","39","32","36","41","40","31","40","40","36","42","37","35","35","35","33","38","31","39","33","34"
,"42","37","37","36","36","33","42","43","34","37","39","31","36","40","40","31","40","40","36","42","37","35","35","35","33","38","31","39","33","34"
,"42","37","37","36","35","33","41","43","34","37","39","31","36","40","40","31","40","40","36","42","37","35","35","35","33","38","31","39","33","34"
,"42","36","37","36","35","33","41","43","34","37","39","31","36","40","40","31","40","40","36","42","37","35","35","35","33","38","31","39","32","34"
,"42","36","37","36","35","33","41","43","34","37","39","31","36","40","40","31","40","40","35","42","37","35","35","35","33","38","31","39","32","34"
,"42","36","37","36","35","33","40","43","34","37","39","31","36","40","40","31","40","40","35","42","37","35","35","35","33","38","31","39","32","34"
,"42","36","37","36","35","33","40","43","34","37","39","31","36","40","40","31","39","40","35","42","37","35","35","34","33","38","31","39","32","34"
,"42","36","37","36","35","33","40","43","33","37","39","31","36","40","40","31","39","40","35","42","37","35","35","34","33","38","31","39","32","34"
,"42","36","37","36","35","33","40","43","33","37","38","31","36","40","40","31","38","40","35","42","37","35","35","34","33","38","31","39","32","34"
,"42","36","37","36","35","33","40","43","33","37","38","31","36","40","40","31","38","40","35","42","37","35","35","34","33","38","31","39","32","34"
,"42","36","37","36","35","33","40","43","33","36","38","31","36","40","40","31","37","40","35","41","37","35","35","34","33","38","31","39","32","34"
,"42","36","37","36","35","33","40","42","33","36","38","31","35","40","40","31","37","40","35","41","37","35","35","34","33","38","31","39","32","34"
,"42","36","37","36","35","33","40","42","33","36","38","31","35","40","40","31","37","40","35","41","37","34","35","34","33","38","31","39","32","34"
,"42","36","37","36","35","33","40","42","33","36","38","31","35","40","40","30","37","40","35","41","37","34","35","34","33","38","31","39","32","34"
,"42","36","37","36","35","33","40","41","33","36","38","31","35","40","40","30","37","40","35","41","37","34","35","34","33","38","31","39","31","34"
,"42","36","37","36","35","33","40","41","33","36","38","31","33","40","40","30","37","40","35","41","37","34","34","34","33","38","31","39","31","33"
,"42","36","37","36","35","33","40","41","33","36","38","31","33","40","40","30","37","40","34","41","37","34","34","34","32","38","31","39","31","33"
,"42","36","37","36","35","33","40","41","33","36","38","31","33","40","40","30","37","40","34","41","37","34","34","34","32","36","31","39","31","33"
,"42","36","37","36","35","33","40","41","33","36","38","31","33","40","40","30","37","40","34","41","37","34","34","34","32","36","31","39","31","33"
,"42","36","37","36","35","32","40","41","33","36","38","31","33","39","40","30","37","40","34","41","37","34","34","34","32","36","31","38","31","33"
,"42","36","37","36","35","32","40","41","33","36","38","31","33","39","40","30","37","40","34","41","37","34","34","34","32","36","31","38","31","33"
,"42","36","37","36","35","32","40","41","33","36","38","31","33","39","40","30","36","40","34","41","37","34","34","34","32","36","31","38","30","33"
,"42","36","37","36","35","32","40","41","32","36","38","31","33","39","40","30","35","40","34","41","37","34","34","34","32","36","31","38","29","33"
,"42","36","37","36","35","32","40","41","31","36","38","31","33","39","40","29","35","40","34","41","37","34","34","34","32","36","31","38","29","33"
,"41","36","37","36","35","31","40","41","31","36","38","31","33","39","40","29","34","40","34","41","37","34","34","34","32","36","30","38","29","33"
,"41","36","37","35","35","31","40","41","30","35","38","31","33","39","39","29","34","40","34","41","37","34","34","34","32","36","30","38","29","33"
,"41","36","37","35","35","31","40","41","30","35","38","31","33","39","39","29","34","40","34","41","37","34","33","34","32","36","30","38","29","33"
,"41","36","37","35","35","31","40","40","29","34","38","31","33","39","39","29","34","40","34","41","37","34","33","34","32","36","30","38","29","33"
,"41","36","37","35","35","31","40","39","29","34","38","31","33","39","39","29","34","40","34","41","37","34","33","34","31","36","30","38","29","33"
,"41","36","37","35","35","31","40","39","29","34","38","31","33","39","39","29","33","40","34","40","37","34","31","34","31","36","30","38","29","33"
,"40","36","37","35","35","31","40","39","29","34","37","31","33","39","39","28","33","40","34","40","36","34","31","34","31","36","30","38","29","33"
,"40","36","36","35","35","31","40","39","29","34","37","31","33","39","39","28","33","40","34","40","36","34","31","34","31","36","30","38","29","33"
,"40","36","36","34","35","31","40","38","29","34","37","31","33","39","39","28","33","39","34","40","36","34","31","34","31","36","30","38","29","33"
,"40","36","36","33","35","31","40","38","29","34","37","31","33","39","39","28","33","39","34","40","36","34","31","34","31","36","30","38","29","33"
,"40","36","36","33","35","31","40","38","28","34","36","31","33","39","39","28","33","39","34","40","36","34","31","34","31","36","30","38","29","33"
,"40","36","36","33","34","31","40","38","28","34","36","31","33","39","39","28","33","39","34","40","36","34","31","34","30","36","29","38","29","33"
,"40","36","36","33","34","31","40","38","28","33","36","30","33","39","39","28","33","39","34","40","36","34","31","34","30","36","29","38","29","33"
,"40","36","36","33","34","31","40","37","28","33","36","29","33","38","39","27","33","39","34","40","36","34","31","34","30","36","29","38","29","33"
,"40","36","36","33","34","31","40","37","28","33","36","29","33","37","39","27","33","39","34","40","36","34","31","34","30","36","29","38","29","33"
,"40","36","36","33","34","31","40","37","28","33","36","29","33","37","39","27","33","39","34","40","36","34","31","34","29","36","29","38","28","33"
,"40","36","36","33","34","31","40","37","28","33","36","29","33","37","39","26","33","39","34","40","36","34","31","34","29","36","29","38","28","33"
,"40","36","36","33","34","31","40","37","28","33","36","29","33","37","39","26","33","39","34","39","36","34","30","34","29","36","29","38","28","33"
,"40","36","36","33","34","31","40","37","28","33","35","29","33","37","39","26","33","39","34","39","36","34","29","34","29","36","29","38","28","32"
,"40","36","36","33","34","31","40","37","28","32","35","29","33","37","39","26","33","38","34","39","36","34","29","34","29","36","29","38","28","32"
,"40","36","36","33","34","31","40","37","27","32","35","29","33","37","39","26","33","38","34","39","36","34","29","34","29","36","29","38","28","32"
,"40","36","36","33","34","31","40","37","27","31","35","29","33","37","39","25","33","38","34","39","36","34","29","34","29","36","29","38","28","32"
,"40","36","36","33","34","31","40","36","27","31","35","29","33","37","39","25","33","38","34","38","36","34","29","34","29","36","29","38","28","31"
,"40","36","36","33","34","31","40","36","27","31","35","29","33","37","39","25","33","38","34","38","35","34","29","34","29","36","29","38","28","31"
,"40","36","36","33","34","31","40","36","27","31","35","29","33","37","39","25","33","38","34","38","34","34","29","34","29","36","29","38","28","31"
,"40","34","36","33","34","31","40","36","27","31","35","28","33","37","39","25","33","37","34","38","34","34","28","34","29","36","29","38","28","31"
,"40","34","35","32","34","31","40","36","27","31","35","28","33","37","38","25","33","37","34","38","34","34","28","33","28","36","29","38","28","31"
,"40","34","35","32","34","31","40","36","27","31","34","28","33","37","38","25","33","37","34","38","34","34","28","33","28","36","29","38","28","31"
,"40","34","35","32","34","30","40","35","27","31","34","28","33","37","38","24","33","37","34","38","34","34","28","33","28","36","29","38","28","31"
,"40","34","35","32","34","30","40","34","27","30","34","28","33","37","38","24","33","37","34","38","34","34","28","33","28","36","29","38","28","31"
